UniversalMessageId,SenderUserId,SenderScreenName,SenderListedName,Sender Followers Count,SenderInfluencerScore,OriginalAuthor,OriginalAuthorProfileLink,Message,MessageType,CreatedTime,Language,MediaTypeList,Permalink,Retweets,Tweet Generator,Favorites,Spam,Sentiment,Location,Country,State,City,Latitude,Longitude,Vader,TextBlob,Number_Words,LH_positive,LH_negative,OF_positive,OF_negative,Eastern Time,Day,cleaned
TWITTER_8_1249909601715118081,7.56E+17,phillis_randy,randyphillis,419,69,,,RT @hansilowang This is why I created @faircount - to ensure that everyone here is included in the narrative of America. Delaying the Census may erase marginalized communities and cost them political power & economic power. We cannot trust the Trump administration to have good intentions. 👀,Twitter Retweet,57:25.9,English,,https://www.twitter.com/phillis_randy/status/1249909601715118081,,,,FALSE,NEUTRAL,"Denver, Colorado, United States",United States,Colorado,Denver,39.73915,-104.9847,0.5856,0.2,45,3,2,1,0,57:25.9,4/13/2020,rt hansilowang creat faircount ensur everyon includ narr america delay may eras margin commun cost polit power econom power cannot trump administr good intent 👀
TWITTER_8_1228366885248368640,2393846244,teresa_atHome,"T #SuburbanAntifa books, knitting, gardening",6569,80,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,14:22.1,English,VIDEO,https://twitter.com/show/status/1228366885248368640,,Twitter for iPad,,FALSE,NEUTRAL,,United States,Oregon,,44.00013,-120.50139,-0.3346,0,44,1,3,0,0,14:22.1,2/14/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_4_1299179715849326593,2176995662,TribuneAgency,Tribune Content Agency,999,56,,,“This rural Minnesota town swelled with immigrants. But will census count them?” from @aprilleticia for @PewStates pewtrusts.org/en/research-an…,Twitter Mention,59:16.5,English,LINK,https://twitter.com/TribuneAgency/status/1299179715849326593,,TCA Headlines,1,FALSE,NEUTRAL,"Chicago, Illinois, United States",United States,Illinois,Chicago,41.85003,-87.65005,0,0,21,0,1,0,0,59:16.5,8/27/2020,“thi rural minnesota town swell immigr count ” aprilleticia pewstat pewtrust org en research an…
TWITTER_8_1228107088674643971,9.12E+17,PamGard09921501,Pam,216,56,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,02:01.7,English,VIDEO,https://twitter.com/show/status/1228107088674643971,,Twitter for Android,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,02:01.7,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1241012186769698817,8.47E+17,CalelElBey,calel 13 Bey™,1016,76,da13thsun,https://twitter.com/da13thsun™,"RT @da13thsun So Census came by Monday Am...

Ask Th Domicile Title and Do I own Domicile but they said resident and I corrected them.
who reside in Domicile?

Nobody Ets Family Estate or Dynasty Trust.

Let this marinate

Rabbi Wisdom",Twitter Retweet,42:16.9,English,,https://twitter.com/show/status/1241012186769698817,,Twitter for iPhone,,FALSE,NEUTRAL,,Unknown,,,,,0.8765,0.12,41,2,0,0,0,42:16.9,3/20/2020,rt da13thsun came monday ask th domicil titl domicil said resid correct resid domicil nobodi et famili estat dynasti let marin rabbi wisdom
TWITTER_8_1249404387195342851,2958617146,dnabrooks,DNAUpstander,604,61,,,"RT @Lyramydog The USG can mail me a census form to fill out, trust that I will annotate it correctly, then MAIL IT BACK IN to conduct the census. 
Why can’t we have mail in ballots?
@GOP think mail in ballots are corrupt? It’s ok when you want census data but not to vote? Voter suppression!😡",Twitter Retweet,29:53.4,English,,https://www.twitter.com/dnabrooks/status/1249404387195342851,,,,FALSE,NEUTRAL,,Unknown,,,,,0.5764,0,58,2,2,0,0,29:53.4,4/12/2020,rt lyramydog usg mail form fill annot correctli mail back conduct can’t mail ballot gop think mail ballot corrupt it’ ok want data vote voter suppress 😡
TWITTER_8_1228064356320985090,7.88E+17,lcathcart4596,Linda C.,1105,69,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,12:13.5,English,VIDEO,https://twitter.com/show/status/1228064356320985090,,Twitter for Android,,FALSE,NEUTRAL,,United States,Arizona,,34.5003,-111.50098,-0.3346,0,44,1,3,0,0,12:13.5,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_2_1236144504773763072,558293436,_Carja,Carja,15951,90,,,Here's why the Census Bureau has a 'Trust and Safety Team' thefulcrum.us/balance-of-pow…,Twitter Update,19:51.0,English,LINK,https://twitter.com/show/status/1236144504773763072,1,Twitter Web Client,0,FALSE,NEUTRAL,,Unknown,,,,,0.7269,0,17,1,0,0,0,19:51.0,3/7/2020,bureau safeti team thefulcrum us balanc pow…
TWITTER_7_1296202837374844928,296019675,Carin_McLeoud,M🖋Black Lives Matter🖋Kistulot,1712,79,,,"@hypnoyuu Yeah, I'm also not talking to a census worker, even if they're wearing a mask.

Fun isn't exactly the right word for what I'd consider it to be.

Especially when I'm in this city with this police response so far.

I trust every piece of this machinery 0%.",Twitter Reply,50:13.4,English,,https://www.twitter.com/Carin_McLeoud/status/1296202837374844928,,TweetDeck,,FALSE,POSITIVE,"Portland, Oregon, United States",United States,Oregon,Portland,45.52345,-122.67621,0.8434,0.082142857,54,3,0,2,0,50:13.4,8/19/2020,hypnoyuu yeah also talk worker even wear mask fun exactli right word consid especi citi polic respons far everi piec machineri 0
TWITTER_7_1258401301420838912,9.45E+17,ChanceMuttley,Chancellor Muttley,66,51,,,"@staceyabrams @TheRoot @faircount I'll make you a deal I will pay to have you message delivered by someone we trust, on media we trust if you can tell me 3 things the last census provided to black men other than prisons, special education and more police.",Twitter Reply,20:24.9,English,,https://www.twitter.com/ChanceMuttley/status/1258401301420838912,,,,FALSE,NEUTRAL,,Unknown,,,,,0.836,0.113095238,47,2,0,0,1,20:24.9,5/7/2020,staceyabram theroot faircount make deal pay messag deliv someon media tell 3 thing last provid black men prison special educ polic
TWITTER_8_1228054630002810887,1717246483,speshalteacher,LisaFromSouthJersey 🇺🇸,1901,73,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,33:34.6,English,VIDEO,https://twitter.com/show/status/1228054630002810887,,Twitter for Android,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,33:34.6,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228048740038127617,14815151,analisamendment,🍽️🥘 Lisa Johnson ♍🌟,3973,82,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,10:10.3,English,VIDEO,https://twitter.com/show/status/1228048740038127617,,Twitter Web App,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,10:10.3,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228052334095171584,1.22E+18,0ni90228101,0ni,24,37,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,24:27.2,English,VIDEO,https://twitter.com/show/status/1228052334095171584,,Twitter for iPhone,,FALSE,NEUTRAL,"San Francisco, California, United States",United States,California,San Francisco,37.77493,-122.41942,-0.3346,0,44,1,3,0,0,24:27.2,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228055842022449159,1.23E+18,jack_hallen,Jack Hallen,23,30,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,38:23.6,English,VIDEO,https://twitter.com/show/status/1228055842022449159,,Twitter Web App,,FALSE,NEUTRAL,,United States,Ohio,,40.25034,-83.00018,-0.3346,0,44,1,3,0,0,38:23.6,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228061910626689030,1140940538,musiklpn,Susan ❤️🧡💛💚💙💜,3717,83,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,02:30.4,English,VIDEO,https://twitter.com/show/status/1228061910626689030,,Twitter for iPhone,,FALSE,NEUTRAL,"Rahway, New Jersey, United States",United States,New Jersey,Rahway,40.60816,-74.27765,-0.3346,0,44,1,3,0,0,02:30.4,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1242518462242660353,2906373945,REV250BOS,Revolution250,1133,48,MHS1791,https://twitter.com/MA HistoricalSociety,"RT @MHS1791 Read online: Early #census making in Massachusetts,1643-1765: with a reproduction of the lost census of 1765 (recently found) and documents relating thereto /
now first collected & published by J. H. Benton, Jr. (1905): 
catalog.hathitrust.org/Record/1005681… #Census2020 #CensusData #2020Census",Twitter Retweet,27:40.9,English,LINK,https://twitter.com/show/status/1242518462242660353,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,Massachusetts,,42.36565,-71.10832,-0.3182,0.116666667,44,0,1,0,1,27:40.9,3/24/2020,rt mhs1791 read onlin earli make massachusett 1643 1765 reproduct lost 1765 recent found document relat thereto first collect publish j h benton jr 1905 catalog hathitrust org record 1005681… census2020 censusdata 2020censu
TWITTER_8_1228517152250060800,8.27E+17,RSaltator,Regina Saltator,36,59,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,11:28.5,English,VIDEO,https://twitter.com/show/status/1228517152250060800,,Twitter for iPhone,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,11:28.5,2/14/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228275376121532416,16384628,BaileySam,BeTheChange,3266,79,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,10:44.6,English,VIDEO,https://twitter.com/show/status/1228275376121532416,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,California,,41.40989,-120.67913,-0.3346,0,44,1,3,0,0,10:44.6,2/14/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1219371692121714688,8.66E+17,PennyAnneSingl2,Sick of Democrats,21202,86,MAGA2ARIGHTS,https://twitter.com/🇺🇸MarieAnne🇺🇸⭐️K⭐️,"RT @MAGA2ARIGHTS New York state unveils council, proposed funding for fair census count 😱

Don’t trust anything NY politicians promise, they are getting our citizens murdered with their dangerous laws 😈

thehill.com/homenews/state…",Twitter Retweet,30:40.9,English,LINK,https://twitter.com/show/status/1219371692121714688,,Twitter for iPhone,,FALSE,NEGATIVE,,Unknown,,,,,-0.5267,0.078787879,34,3,1,1,1,30:40.9,1/20/2020,rt maga2aright new york state unveil council propos fund fair count 😱 don’t anyth ny politician promis get citizen murder danger law 😈 thehil com homenew state…
TWITTER_8_1254721831539339265,994594957,raywilton4,💧Ray Wilton 💧💦,10158,90,,,RT @badministrator9 @LesStonehouse Doesn’t matter I won’t be using it. Im told it only works on iphone when kept in foreground? This govt became the first to completely bungle the census. Why would you trust them with this?,Twitter Retweet,39:30.9,English,,https://www.twitter.com/raywilton4/status/1254721831539339265,,,,FALSE,NEGATIVE,,Unknown,,,,,0.5803,0.04375,40,3,1,0,0,39:30.9,4/27/2020,rt badministrator9 lesstonehous doesn’t matter won’t use im told work iphon kept foreground govt becam first complet bungl would
TWITTER_8_1224719048937787392,3121380094,PodcastVillage,Podcast Village,916,52,countONURcensus,https://twitter.com/Count On Your Census,"RT @countONURcensus Being a trusted community advocate matters when talking to hard-to-count communities. Leaders like Gustavo Torres @CASAforall, @CathVBeane @ywcausa, & @SteveChoiNY @thenyic speak of their efforts to organize their communities. #2020Census. LISTEN NOW: bit.ly/coycep4 https://t.co/g63Elljz4t",Twitter Retweet,39:10.1,English,VIDEO,https://twitter.com/show/status/1224719048937787392,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,"Washington, D.C.",,38.91706,-77.00025,0.6908,0,42,3,1,0,1,39:10.1,2/4/2020,rt countonurcensu trust commun advoc matter talk hard count commun leader like gustavo torr casaforal cathvbean ywcausa stevechoini thenyic speak effort organ commun 2020censu listen bit ly coycep4
TWITTER_7_1228694404367515648,1.14E+18,ABNYCensus2020,ABNYCensus2020,156,38,,,"@JorgeVasquezNYC @zellnor4ny @uscensusbureau @NYCMayorsOffice @Rubenstein @NYcounts2020 @CentralLaborNYC @_meeta_ @thenyic Q: How is #labor getting involved in the #2020Census
A: Lucia Gomez of @CentralLaborNYC: 
""We encouraged unions to engage internally, labor is a trusted member for their members so we leverage that relationship to urge them to complete the census in all communities."" #NYSABPRL",Twitter Reply,55:48.7,English,,https://twitter.com/ABNYCensus2020/status/1228694404367515648,,Twitter Web App,0,FALSE,NEUTRAL,,Unknown,,,,,0.7906,0.025,53,2,0,0,0,55:48.7,2/15/2020,jorgevasqueznyc zellnor4ni uscensusbureau nycmayorsoffic rubenstein nycounts2020 centrallabornyc meeta thenyic q labor get involv 2020censu lucia gomez centrallabornyc encourag union engag intern labor trust member member leverag relationship urg complet commun nysabprl
TWITTER_8_1233724453806395393,1095615084,LilDivaz1,LilDivaz,1240,78,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,03:25.9,English,VIDEO,https://twitter.com/show/status/1233724453806395393,,Twitter for iPad,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,03:25.9,2/29/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228065907160702976,8.30E+17,derwallis,Jeffrey Derwallis,43,55,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,18:23.3,English,VIDEO,https://twitter.com/show/status/1228065907160702976,,Twitter for iPhone,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,18:23.3,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1247177089658302466,8.25E+17,DeborahM556,Dragonfly63 🆘,4188,81,sun_cel,https://twitter.com/SUN,"RT @sun_cel @JoyAnnReid I saw a good point the other day which hasn't gotten as much traction as it should.
If we trust people to send the census questionnaire through the mail and online, why again do we not trust mail-in voting?",Twitter Retweet,59:24.3,English,,https://twitter.com/show/status/1247177089658302466,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,Florida,,28.75054,-82.5001,0.8591,0.129166667,44,4,0,1,0,59:24.3,4/6/2020,rt sun cel joyannreid saw good point day gotten much traction peopl send questionnair mail onlin mail vote
TWITTER_8_1228306377929609216,1.18E+18,too2_i,BirdyBlue🆘,791,60,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,13:56.0,English,VIDEO,https://twitter.com/show/status/1228306377929609216,,Twitter for iPhone,,FALSE,NEUTRAL,,Unknown,,,,,-0.3346,0,44,1,3,0,0,13:56.0,2/14/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228145326663569409,432107239,njkujawa,Norm Kujawa,302,66,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,33:58.4,English,VIDEO,https://twitter.com/show/status/1228145326663569409,,Twitter for iPhone,,FALSE,NEUTRAL,"Toledo, Ohio, United States",United States,Ohio,Toledo,41.66394,-83.55521,-0.3346,0,44,1,3,0,0,33:58.4,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228105721788669952,2384008381,MiaKerick,Mia Kerick,4056,79,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,56:35.8,English,VIDEO,https://twitter.com/show/status/1228105721788669952,,Twitter for iPhone,,FALSE,NEUTRAL,,United States,New Hampshire,,43.66702,-71.4998,-0.3346,0,44,1,3,0,0,56:35.8,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
TWITTER_8_1228068823011512320,9.95E+17,Kimmycon3,Kimberly Conyer,671,69,RepKatiePorter,https://twitter.com/Rep. Katie Porter,"RT @RepKatiePorter Some Californians have received ""2020 Congressional District Census"" questionnaires—but they were actually RNC mailers. Ploys like this increase confusion and distrust, when the census already struggles against disinformation. I called on the Census Director to do something. https://t.co/8oE5wCv4L1",Twitter Retweet,29:58.5,English,VIDEO,https://twitter.com/show/status/1228068823011512320,,Twitter Web App,,FALSE,NEUTRAL,,United States,Arizona,,34.5003,-111.50098,-0.3346,0,44,1,3,0,0,29:58.5,2/13/2020,rt repkatieport californian receiv 2020 congression district questionnaires—but actual rnc mailer ploy like increas confus distrust alreadi struggl disinform call director someth
